iter	Passed	Remaining
475	654	720
476	655	718
477	656	716
478	657	714
479	658	712
480	658	711
481	659	709
482	660	707
483	661	705
484	663	704
485	663	702
486	664	700
487	665	698
488	666	696
489	667	694
490	668	693
491	669	691
492	670	689
493	671	687
494	672	685
495	673	684
496	674	682
497	675	680
498	676	679
499	677	677
500	678	675
501	679	674
502	680	672
503	681	670
504	682	668
505	683	666
506	684	665
507	684	663
508	685	661
509	686	659
510	687	658
511	688	656
512	689	654
513	690	653
514	691	651
515	692	649
516	693	647
517	694	646
518	695	644
519	696	642
520	697	640
521	698	639
522	698	637
523	699	635
524	700	634
525	701	632
526	702	630
527	703	629
528	704	627
529	705	625
530	706	624
531	707	622
532	708	620
533	709	619
534	710	617
535	711	615
536	712	614
537	713	612
538	714	610
539	715	609
540	716	607
541	716	605
542	718	604
543	719	602
544	720	601
545	721	599
546	721	597
547	722	596
548	723	594
549	724	592
550	725	591
551	726	589
552	727	587
553	728	586
554	729	584
555	730	583
556	731	581
557	732	579
558	733	578
559	734	576
560	735	575
561	735	573
562	736	571
563	737	570
564	738	568
565	739	567
566	740	565
567	741	563
568	742	562
569	743	560
570	744	559
571	745	557
572	746	556
573	747	554
574	748	553
575	749	551
576	750	549
577	751	548
578	752	546
579	752	545
580	753	543
581	754	542
582	755	540
583	756	538
584	757	537
585	758	535
586	759	534
587	760	533
588	761	531
589	762	529
590	763	528
591	764	526
592	765	525
593	766	523
594	767	522
595	767	520
596	768	519
597	769	517
598	770	516
599	771	514
600	773	513
601	774	511
602	775	510
603	776	508
604	776	507
605	777	505
606	778	504
607	779	502
608	780	501
609	781	499
610	782	498
611	783	496
612	784	495
613	785	493
614	786	492
615	787	491
616	788	489
617	789	488
618	790	486
619	791	485
620	792	483
621	793	482
622	794	480
623	795	479
624	796	477
625	796	476
626	797	474
627	798	473
628	799	471
629	800	470
630	801	468
631	802	467
632	803	465
633	804	464
634	805	462
635	806	461
636	807	459
637	808	458
638	808	456
639	809	455
640	810	454
641	811	452
642	812	451
643	813	449
644	814	448
645	815	446
646	816	445
647	817	443
648	818	442
649	819	441
650	820	439
651	821	438
652	821	436
653	822	435
654	823	433
655	824	432
656	825	431
657	826	429
658	828	428
659	829	427
660	830	425
661	830	424
662	831	422
663	832	421
664	833	419
665	834	418
666	835	417
667	836	415
668	837	414
669	838	412
670	839	411
671	840	410
672	843	409
673	846	409
674	848	408
675	852	408
676	855	407
677	858	407
678	861	407
679	864	406
680	868	406
681	871	406
682	873	405
683	876	405
684	879	404
685	883	404
686	886	403
687	889	403
688	892	402
689	894	402
690	897	401
691	902	401
692	905	401
693	909	400
694	912	400
695	918	401
696	921	400
697	925	400
698	929	400
699	934	400
700	937	399
701	940	399
702	944	398
703	948	398
704	952	398
705	954	397
706	958	397
707	962	396
708	967	396
709	970	396
710	973	395
711	977	395
712	980	394
713	983	393
714	985	392
715	987	391
716	989	390
717	991	389
718	993	388
719	995	387
720	996	385
721	998	384
722	1000	383
723	1002	382
724	1003	380
725	1005	379
726	1006	377
727	1007	376
728	1008	375
729	1009	373
730	1011	372
731	1013	370
732	1014	369
733	1015	367
734	1016	366
735	1017	364
736	1018	363
737	1019	361
738	1020	360
739	1021	358
740	1022	357
741	1022	355
742	1023	354
743	1024	352
744	1025	351
745	1026	349
746	1027	348
747	1028	346
748	1029	345
749	1030	343
750	1031	342
751	1032	340
752	1033	338
753	1034	337
754	1035	335
755	1036	334
756	1037	332
757	1038	331
758	1039	329
759	1040	328
760	1040	326
761	1042	325
762	1043	324
763	1044	322
764	1044	320
765	1045	319
766	1046	318
767	1047	316
768	1048	315
769	1049	313
770	1050	312
771	1051	310
772	1052	309
773	1053	307
774	1054	306
775	1055	304
776	1056	303
777	1057	301
778	1058	300
779	1059	298
780	1060	297
781	1061	295
782	1062	294
783	1063	292
784	1064	291
785	1065	290
786	1066	288
787	1067	287
788	1068	285
789	1069	284
790	1070	282
791	1071	281
792	1072	279
793	1073	278
794	1074	277
795	1075	275
796	1076	274
797	1076	272
798	1078	271
799	1078	269
800	1079	268
801	1080	266
802	1081	265
803	1082	263
804	1083	262
805	1084	261
806	1085	259
807	1086	258
808	1087	256
809	1088	255
810	1089	253
811	1090	252
812	1090	250
813	1091	249
814	1092	248
815	1093	246
816	1094	245
817	1095	243
818	1096	242
819	1097	240
820	1098	239
821	1099	238
822	1100	236
823	1101	235
824	1102	233
825	1102	232
826	1104	230
827	1104	229
828	1105	228
829	1106	226
830	1107	225
831	1108	223
832	1109	222
833	1110	221
834	1111	219
835	1112	218
836	1113	216
837	1114	215
838	1115	214
839	1116	212
840	1117	211
841	1118	209
842	1119	208
843	1120	207
844	1121	205
845	1122	204
846	1123	202
847	1124	201
848	1125	200
849	1126	198
850	1126	197
851	1127	195
852	1128	194
853	1129	193
854	1130	191
855	1131	190
856	1132	188
857	1133	187
858	1134	186
859	1135	184
860	1136	183
861	1137	182
862	1138	180
863	1139	179
864	1140	177
865	1141	176
866	1142	175
867	1143	173
868	1144	172
869	1145	171
870	1145	169
871	1146	168
872	1147	166
873	1148	165
874	1149	164
875	1150	162
876	1151	161
877	1152	160
878	1153	158
879	1154	157
880	1155	156
881	1156	154
882	1157	153
883	1157	151
884	1158	150
885	1159	149
886	1160	147
887	1161	146
888	1162	145
889	1163	143
890	1164	142
891	1165	141
892	1166	139
893	1167	138
894	1168	137
895	1169	135
896	1170	134
897	1171	133
898	1172	131
899	1173	130
900	1174	129
901	1175	127
902	1175	126
903	1176	124
904	1177	123
905	1179	122
906	1179	120
907	1180	119
908	1181	118
909	1182	116
910	1183	115
911	1184	114
912	1185	112
913	1186	111
914	1187	110
915	1188	108
916	1189	107
917	1189	106
918	1190	104
919	1191	103
920	1192	102
921	1193	101
922	1194	99
923	1195	98
924	1196	97
925	1197	95
926	1198	94
927	1199	93
928	1200	91
929	1201	90
930	1202	89
931	1203	87
932	1204	86
933	1205	85
934	1205	83
935	1206	82
936	1207	81
937	1208	79
938	1209	78
939	1210	77
940	1211	75
941	1212	74
942	1213	73
943	1213	72
944	1214	70
945	1215	69
946	1216	68
947	1217	66
